"","G1Sample1","G1Sample2","G1Sample3","G1Sample4","G1Sample5","G1Sample6","G1Sample7","G1Sample8","G1Sample9","G1Sample10","G1Sample11","G1Sample12","G1Sample13","G1Sample14","G1Sample15","G1Sample16","G1Sample17","G1Sample18","G1Sample19","G1Sample20","G1Sample21","G1Sample22"
"Feature101",0.465426568,0.642085976,0.405123073,0.530889618,0.508470607,0.495708881,0.550172968,0.334218733,0.992994375,0.351982707,0.826022226,0.929324494,0.726739565,0.787061423,0.989131,0.841594986,0.953821135,0.991919,0.752166369,0.860136026,0.986027389,0.69992782
"Feature102",0.804696828,0.7258212,0.777187294,0.779972571,0.882910057,0.853053873,0.89159877,0.615119637,0.991567004,0.952923767,0.6353894,0.819969031,0.961515407,0.560408575,0.54191898,0.634429651,0.932200758,0.978975,0.862551264,0.569044014,0.959621176,0.644309197
"Feature103",0.935070598,0.86326043,0.997202999,0.509554424,0.524246069,0.472336346,0.941832755,0.357686737,0.9743029,0.288189745,0.917371371,0.703053933,0.879564417,0.506788832,0.986784,0.344377676,0.934414346,0.997594,0.881061517,0.871928121,0.99604376,0.365200667
"Feature104",0.971744099,0.845563216,0.990917,0.582967997,0.599798513,0.546894904,0.965371625,0.422314896,0.992759564,0.348274251,0.865883882,0.767783637,0.921601633,0.721427165,0.999751,0.408598516,0.967820636,0.98895,0.856726903,0.923529922,0.981865158,0.433822545
"Feature105",0.982838557,0.798517954,0.97283241,0.806511784,0.836640524,0.822016626,0.951156773,0.762253991,0.833013988,0.699354942,0.857848378,0.90734833,0.710674475,0.904360675,0.980201996,0.731138325,0.821475813,0.978137,0.761569463,0.938898131,0.953439282,0.720897323
"Feature106",0.148115632,0.939971823,0.55961748,0.913521881,0.243983607,0.19310815,0.702053589,0.304248109,0.571525754,0.710813952,0.688434248,0.377883256,0.512058723,0.316603619,0.990395,0.637117277,0.877850318,0.998608,0.269408936,0.528154316,0.595997958,0.399509742
"Feature107",0.013408185,0.366492467,0.755802539,0.103766642,0.138327863,0.692359699,0.218939882,0.094369,0.07936873,0.696195865,0.142846102,0.499489596,0.933006742,0.572884281,0.469520481,0.111914694,0.867941916,0.99625,0.734539221,0.469099757,0.831023245,0.072340137
"Feature108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature109",0.002590337,0.012089307,0.017916739,0.770572025,0.052109162,0.166588266,0.002369568,0.053927426,0.070325658,0.298333261,0.146024274,0.341095658,0.37988073,0.926555556,0.576288779,0.85739064,0.98281464,0.991799,0.480220477,0.73908762,0.608240345,0.106271503
"Feature110",0.654504918,0.969969524,0.953832707,0.681478206,0.620216875,0.586056774,0.637261659,0.434678728,0.92886241,0.582189042,0.443477174,0.896380947,0.87380278,0.82493871,0.9971,0.863237834,0.974976769,0.977819,0.605636923,0.802643061,0.555767624,0.742196433
"Feature111",0.627806253,0.989301308,0.673159945,0.701572793,0.067314472,0.143418931,0.581608335,0.665859006,0.551891559,0.701606483,0.686504553,0.3587972,0.725052795,0.95521931,0.980238,0.190783836,0.904167439,0.983221,0.652401572,0.255075159,0.617961352,0.136137221
"Feature112",0.268885529,0.659033026,0.28792787,0.973024253,0.834735924,0.169534144,0.163204871,0.411087456,0.423937091,0.076127282,0.850998884,0.693151538,0.382641586,0.444176861,0.6292966,0.407458896,0.172457513,0.986172,0.14524808,0.208520649,0.445781981,0.525300846
"Feature113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature114",0.54932072,0.894673965,0.729984087,0.105320404,0.442020157,0.06060758,0.595285121,0.127545646,0.960270216,0.720804294,0.342051229,0.761191725,0.406030936,0.584705725,0.996162,0.623495603,0.829634503,0.995721,0.879541189,0.71508522,0.517059863,0.186092385
"Feature115",0.542702903,0.892766175,0.920356695,0.31728085,0.367964654,0.164463546,0.370286831,0.218198621,0.907000005,0.634379587,0.436288728,0.433777023,0.398110494,0.461949956,0.997692,0.418138691,0.451951543,0.992145,0.67498214,0.782573974,0.355510078,0.343620686
"Feature116",0.988894797,0.994953997,0.788215334,0.833861883,0.785887883,0.913776277,0.738812448,0.610261238,0.963215711,0.720510318,0.606482877,0.880446369,0.56016987,0.819116701,0.986605447,0.583418032,0.71791732,0.991845,0.821766807,0.818465106,0.773866852,0.568241327
"Feature117",0.773085073,0.346751068,0.414674105,0.406760671,0.778995527,0.422525936,0.337427403,0.741099599,0.925199437,0.7228575,0.915202878,0.486541986,0.951588532,0.488684189,0.721075224,0.708669322,0.793049522,0.980411,0.891526228,0.47126855,0.459458295,0.596389463
"Feature118",0.775712219,0.712447083,0.747674691,0.786319444,0.752947564,0.77024947,0.723603064,0.687555839,0.964123256,0.652072922,0.679773792,0.760003542,0.653205843,0.874939289,0.834071823,0.66663085,0.786459279,0.990389,0.698128711,0.817872587,0.667369886,0.645236667
"Feature119",0.884378123,0.847374663,0.347072015,0.394382725,0.792176984,0.403472031,0.357846625,0.763062489,0.598795153,0.862867158,0.864529867,0.741839701,0.635399521,0.419935847,0.991426,0.872198498,0.962909001,0.98136,0.544797774,0.797373036,0.951566991,0.291132083
"Feature120",0.624145907,0.683102081,0.658119124,0.200485918,0.293814477,0.174225537,0.269870387,0.399003039,0.626365354,0.81432607,0.664614915,0.862256693,0.441591909,0.411742417,0.990976,0.686909566,0.433095984,0.979435,0.942238099,0.758305854,0.359227265,0.299177648
"Feature121",0.695488788,0.727564005,0.649309145,0.153836359,0.243675856,0.13260963,0.499092945,0.463269651,0.669975,0.867937602,0.610607163,0.826066488,0.365346652,0.319952341,0.986804,0.582090623,0.601684188,0.989494,0.976640267,0.817390439,0.301862951,0.245174857
"Feature122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature124",0.583482787,0.583924279,0.723808599,0.811878887,0.241142866,0.216050021,0.242362916,0.251274923,0.777125181,0.823885752,0.223055216,0.693355661,0.217796548,0.648142913,0.994862,0.325410868,0.906567882,0.993932,0.243968569,0.877580673,0.79742284,0.61375124
"Feature125",0.593620387,0.576627624,0.712928904,0.815906099,0.24126407,0.214111695,0.238545557,0.248561121,0.787596932,0.814554474,0.225138802,0.693268055,0.219703084,0.693355697,0.993394,0.321393242,0.878622227,0.991523,0.244460683,0.878206153,0.797892198,0.612297363
